Machine_ID,Temperature,Run_Time,Downtime_Flag
171,65.74,718,0
172,86.84,780,0
173,88.64,646,0
174,65.11,133,0
175,82.03,932,1
176,92.83,1186,1
177,93.01,791,0
178,84.25,706,0
179,73.52,720,0
180,78.35,1002,1
181,88.66,1121,0
182,90.41,791,0
183,87.99,986,1
184,82.05,1146,1
185,70.11,557,0
186,66.69,399,0
187,83.26,584,0
188,72.46,1101,1
189,78.58,1130,1
190,88.94,218,0
191,89.94,305,0
192,72.24,830,0
193,74.59,404,0
194,82.31,592,0
195,61.96,720,0
196,80.03,699,0
197,78.23,1072,0
198,85.52,687,0
199,76.69,955,0
200,65.6,1146,1
201,80.32,121,0
202,76.88,423,0
203,84.01,251,0
204,73.3,977,0
205,76.28,114,0
206,75.22,682,0
207,71.12,967,0
208,68.4,703,0
209,69.44,61,0
210,84.41,672,0
211,77.63,1169,1
212,74.65,1011,1
213,70.28,794,0
214,100.07,1182,1
215,71.41,1024,0
216,85.82,485,0
217,88.83,906,0
218,69.32,747,0
219,78.27,613,0
220,68.9,1167,0
221,86.51,330,0
222,65.09,268,0
223,77.92,304,0
224,55.82,1141,1
225,90.47,681,0
226,84.38,645,0
227,72.37,155,0
228,72.74,67,0
229,74.51,706,0
230,61.8,423,0
231,59.72,505,0
232,76.69,137,0
233,88.04,597,0
234,75.22,895,0
235,82.09,914,1
236,83.38,165,0
237,77.03,274,0
238,72.21,274,0
239,58.41,1185,1
240,100.96,393,0
241,88.52,568,0
242,88.61,661,0
243,78.27,577,0
244,58.44,682,0
245,82.4,1039,1
246,81.99,379,0
247,95.73,783,0
248,70.74,639,0
249,84.18,109,0
250,76.74,16,0
251,75.64,360,0
252,71.66,1052,0
253,72.5,1017,0
254,85.77,940,0
255,82.94,629,0
256,67.4,416,0
257,82.51,542,0
258,82.44,977,1
259,55.95,628,0
260,73.23,242,0
261,88.67,589,0
262,74.19,891,0
263,71.66,454,0
264,90.61,972,1
265,90.41,115,0
266,69.86,498,0
267,61.57,497,0
268,78.63,324,0
269,69.66,1120,0
270,91.13,752,0
271,77.92,1176,0
272,79.56,627,0
273,76.84,984,1
274,80.13,745,0
275,59.45,1055,0
276,64.2,570,0
277,71.88,893,0
278,83.06,770,0
279,71.84,828,0
280,75.05,812,0
281,79.1,297,0
282,82.59,959,1
283,72.36,450,0
284,90.31,642,0
285,91.35,916,1
286,86.14,870,0
287,81.27,128,0
288,77.95,646,0
289,62.59,656,0
290,83.23,623,0
291,89.68,526,0
292,91.85,979,1
293,82.53,1162,1
294,73.95,769,0
295,74.78,176,0
296,87.09,592,0
297,82.85,793,0
298,82.54,260,0
299,69.21,838,0
300,65.51,1048,1
301,79.3,425,0
302,79.33,979,1
303,70.17,1082,1
304,95.87,346,0
305,80.27,588,0
306,75.58,242,0
307,71.55,647,0
308,65.0,766,0
309,63.39,1133,1
310,74.13,396,0
311,75.04,549,0
312,89.17,369,0
313,81.9,858,0
314,77.85,273,0
315,85.8,87,0
316,70.97,611,0
317,83.3,962,1
318,77.76,143,0
319,80.06,1123,1
320,68.21,554,0
321,88.14,729,0
322,79.13,725,0
323,69.09,187,0
324,91.62,734,0
325,75.68,219,0
326,80.38,975,1
327,75.94,599,0
328,66.32,554,0
329,73.18,744,0
330,63.6,116,0
331,78.53,1105,1
332,71.09,950,0
333,77.62,670,0
334,86.36,1103,0
335,99.15,557,0
336,93.65,680,0
337,74.03,453,0
338,75.0,344,0
339,74.88,965,0
340,84.27,1102,1
341,78.39,125,0
342,65.45,872,0
343,59.06,107,0
344,75.59,634,0
345,67.4,530,0
346,98.89,940,1
347,76.46,1092,0
348,82.86,1155,0
349,76.32,1109,1
350,78.5,1070,1
351,80.89,31,0
352,101.2,1038,1
353,62.63,1037,0
354,76.43,350,0
355,91.49,363,0
356,79.72,439,0
357,76.88,520,0
358,77.64,431,0
359,75.33,233,0
360,56.66,1092,1
361,75.55,344,0
362,89.27,1079,0
363,78.9,446,0
364,95.78,457,0
365,76.91,258,0
366,74.67,270,0
367,57.71,758,0
368,80.09,919,1
369,87.42,279,0
370,79.25,62,0
371,87.17,521,0
372,69.03,1187,1
373,79.68,664,0
374,65.93,491,0
375,88.54,608,0
376,68.33,1189,0
377,81.2,914,1
378,86.1,1159,1
379,75.03,394,0
380,69.12,35,0
381,76.64,860,0
382,87.41,288,0
383,89.29,1165,1
384,86.75,955,1
385,78.21,542,0
386,64.13,956,1
387,72.79,1106,0
388,78.4,988,1
389,87.49,910,1
390,70.17,1169,1
391,82.61,22,0
392,87.05,582,0
393,71.75,596,0
394,78.73,249,0
395,93.73,1091,1
396,80.2,1103,1
397,86.17,1192,0
398,79.98,390,0
399,71.23,49,0
400,92.85,791,0
401,72.35,131,0
402,82.09,958,0
403,67.62,661,0
404,62.95,933,0
405,91.72,1196,1
406,91.5,811,0
407,85.56,793,0
408,72.6,30,0
409,82.49,1015,0
410,91.83,417,0
411,73.75,435,0
412,79.17,623,0
413,64.5,376,0
414,85.47,76,0
415,77.45,1128,1
416,75.28,862,0
417,74.22,980,1
418,92.89,62,0
419,93.66,489,0
420,74.23,1183,1
421,70.0,681,0
422,67.98,1196,1
423,93.03,1179,1
424,94.97,611,0
425,54.91,610,0
426,87.75,1056,1
427,79.58,639,0
428,73.27,586,0
429,91.59,283,0
430,81.11,694,0
431,67.34,99,0
432,104.74,960,1
433,82.26,127,0
434,63.98,390,0
435,87.05,247,0
436,88.98,289,0
437,85.25,279,0
438,64.59,42,0
439,76.94,535,0
440,77.6,438,0
441,81.77,695,0
442,74.04,765,0
443,80.08,1094,1
444,80.62,991,0
445,67.09,517,0
446,83.74,1080,0
447,70.9,1106,1
448,84.53,798,0
449,82.34,1045,0
450,76.28,968,1
451,76.24,637,0
452,90.31,755,0
453,87.34,726,0
454,72.6,945,1
455,94.62,793,0
456,76.68,244,0
457,79.82,158,0
458,68.83,808,0
459,78.07,86,0
460,95.91,995,1
461,80.29,43,0
462,65.13,1128,1
463,84.37,999,1
464,81.19,613,0
465,77.11,859,0
466,87.05,760,0
467,76.33,196,0
468,92.65,1069,1
469,74.83,805,0
470,60.17,536,0
471,93.97,26,0
472,84.76,399,0
473,67.18,599,0
474,75.45,1005,1
475,79.59,1042,0
476,80.34,603,0
477,74.71,919,1
478,71.52,893,0
479,76.59,277,0
480,77.9,530,0
481,81.51,821,0
482,93.74,115,0
483,75.35,1171,1
484,78.24,1063,1
485,91.94,132,0
486,79.74,561,0
487,84.51,830,0
488,75.77,125,0
489,82.31,721,0
490,75.99,755,0
491,81.76,142,0
492,95.75,843,0
493,78.05,950,1
494,66.15,1199,0
495,79.47,121,0
496,85.49,1196,1
497,79.49,277,0
498,70.01,886,0
499,77.45,117,0
500,94.25,735,0
501,78.95,1043,1
502,92.06,1151,1
503,89.96,888,0
504,81.28,731,0
505,71.6,603,0
506,77.47,228,0
507,100.76,986,1
508,81.79,526,0
509,73.08,931,1
510,84.7,814,0
511,80.13,694,0
512,80.82,1043,0
513,75.63,1022,1
514,77.45,1192,1
515,82.49,486,0
516,80.03,249,0
517,71.3,1176,0
518,82.11,805,0
519,75.58,276,0
520,93.32,293,0
521,69.02,663,0
522,93.17,1135,1
523,80.39,479,0
524,100.56,950,1
525,71.99,997,1
526,76.82,823,0
527,78.83,654,0
528,70.84,112,0
529,96.58,796,0
530,85.65,948,0
531,81.53,138,0
532,82.24,1061,0
533,73.52,1158,1
534,87.4,209,0
535,79.31,1036,1
536,81.86,1094,1
537,86.14,553,0
538,69.21,651,0
539,94.07,1185,1
540,76.75,114,0
541,78.51,370,0
542,74.36,1139,1
543,88.92,474,0
544,90.73,889,0
545,83.87,177,0
546,80.02,1036,1
547,78.82,81,0
548,76.71,427,0
549,74.63,796,0
550,87.64,586,0
551,87.48,152,0
552,81.02,594,0
553,87.71,571,0
554,93.96,1137,1
555,78.4,1038,0
556,81.06,518,0
557,70.28,15,0
558,79.14,643,0
559,86.97,981,1
560,90.07,401,0
561,70.12,97,0
562,87.21,901,0
563,71.9,895,0
564,82.78,289,0
565,78.61,1025,0
566,75.98,1199,0
567,84.3,647,0
568,84.87,457,0
569,102.07,1003,1
570,83.19,100,0
571,86.27,465,0
572,100.88,965,1
573,68.99,816,0
574,97.71,661,0
575,81.94,774,0
576,73.75,529,0
577,76.4,295,0
578,98.34,987,1
579,81.19,716,0
580,67.08,905,1
581,82.49,1019,0
582,97.89,833,0
583,63.93,71,0
584,84.43,182,0
585,73.41,353,0
586,97.98,730,0
587,77.98,1192,0
588,74.42,1080,1
589,84.79,263,0
590,76.36,562,0
591,107.8,1157,1
592,74.38,46,0
593,78.84,269,0
594,68.03,319,0
595,64.29,474,0
596,73.71,379,0
597,87.26,613,0
598,59.4,1083,0
599,86.99,382,0
600,70.85,16,0
601,84.36,661,0
602,72.08,789,0
603,69.33,496,0
604,83.93,253,0
605,72.21,19,0
606,95.91,585,0
607,81.11,179,0
608,72.88,1113,0
609,65.11,337,0
610,91.43,290,0
611,94.68,239,0
612,69.82,808,0
613,89.43,676,0
614,77.48,438,0
615,69.81,629,0
616,83.09,499,0
617,76.7,589,0
618,80.82,1056,0
619,76.97,100,0
620,71.49,804,0
621,80.48,1105,0
622,66.74,1165,0
623,78.67,239,0
624,85.9,1179,1
625,95.12,470,0
626,74.14,300,0
627,77.83,757,0
628,91.87,643,0
629,76.88,1007,0
630,85.04,542,0
631,76.4,692,0
632,76.03,1057,1
633,92.53,353,0
634,85.43,633,0
635,66.51,986,0
636,79.42,728,0
637,86.98,618,0
638,82.63,697,0
639,95.58,194,0
640,75.14,572,0
641,85.39,1144,1
642,63.49,899,0
643,90.91,319,0
644,71.99,254,0
645,81.62,56,0
646,93.31,574,0
647,72.7,165,0
648,96.86,627,0
649,72.82,1142,1
650,112.82,490,0
651,81.72,348,0
652,85.53,919,1
653,96.41,1083,1
654,74.88,1009,1
655,90.41,697,0
656,74.88,755,0
657,93.32,622,0
658,66.63,40,0
659,79.34,673,0
660,74.27,913,1
661,92.73,383,0
662,83.18,1197,1
663,67.41,212,0
664,83.71,354,0
665,80.6,1101,0
666,75.4,725,0
667,85.87,452,0
668,84.6,352,0
669,80.91,1130,1
670,82.81,846,0
671,78.41,10,0
672,76.21,243,0
673,77.44,637,0
674,76.49,509,0
675,87.92,270,0
676,81.91,877,0
677,96.29,62,0
678,84.42,943,0
679,76.55,194,0
680,87.6,1139,0
681,75.67,248,0
682,73.54,985,1
683,98.9,789,0
684,83.1,256,0
685,71.71,1060,0
686,69.95,19,0
687,77.63,908,1
688,80.01,963,1
689,96.67,1105,1
690,80.94,447,0
691,89.3,1103,1
692,64.84,1184,0
693,98.98,548,0
694,93.27,833,0
695,78.47,821,0
696,95.0,909,1
697,79.13,654,0
698,65.05,32,0
699,71.42,334,0
700,80.0,872,0
701,82.84,46,0
702,50.0,351,0
703,74.16,900,0
704,71.65,288,0
705,86.72,343,0
706,61.59,1175,1
707,86.96,1199,0
708,85.02,892,0
709,82.88,168,0
710,69.46,476,0
711,83.62,310,0
712,67.93,1161,1
713,72.2,69,0
714,77.6,78,0
715,79.76,196,0
716,81.97,534,0
717,80.9,140,0
718,69.65,335,0
719,63.51,528,0
720,58.76,892,0
721,82.16,327,0
722,87.29,1032,1
723,94.87,1035,1
724,100.05,139,0
725,74.14,961,0
726,75.98,72,0
727,81.15,1041,0
728,70.54,393,0
729,90.88,332,0
730,80.93,506,0
731,92.7,261,0
732,89.31,32,0
733,76.55,602,0
734,86.73,458,0
735,75.23,926,1
736,88.77,421,0
737,72.55,572,0
738,75.79,175,0
739,82.4,591,0
740,77.12,106,0
741,99.32,749,0
742,85.35,1047,1
743,61.59,209,0
744,81.98,1167,1
745,85.09,1116,0
746,64.82,444,0
747,91.66,909,1
748,82.85,387,0
749,77.83,1132,0
750,88.23,394,0
751,57.38,468,0
752,70.13,502,0
753,74.95,132,0
754,84.84,331,0
755,88.43,817,0
756,65.67,145,0
757,88.58,702,0
758,88.97,48,0
759,85.32,312,0
760,82.71,291,0
761,87.41,242,0
762,94.49,1041,1
763,91.64,690,0
764,73.68,58,0
765,50.94,871,0
766,80.28,829,0
767,78.71,814,0
768,85.42,286,0
769,89.66,798,0
770,90.29,1010,1
771,79.11,962,1
772,74.74,1142,1
773,78.53,1196,1
774,90.3,1087,1
775,65.25,764,0
776,83.16,491,0
777,80.77,883,0
778,69.57,1125,0
779,65.44,635,0
780,65.2,224,0
781,69.6,905,0
782,83.9,749,0
783,90.3,521,0
784,82.72,568,0
785,85.8,361,0
786,84.28,1012,0
787,82.14,676,0
788,79.03,124,0
789,91.45,699,0
790,65.42,814,0
791,78.53,881,0
792,72.62,854,0
793,72.4,1069,1
794,110.21,1186,1
795,79.14,406,0
796,75.37,744,0
797,69.56,912,0
798,95.52,18,0
799,97.97,397,0
800,84.54,163,0
801,90.1,117,0
802,68.94,832,0
803,62.99,114,0
804,80.4,195,0
805,80.93,729,0
806,84.19,48,0
807,80.59,620,0
808,74.1,791,0
809,63.64,30,0
810,98.87,807,0
811,70.15,179,0
812,77.87,1007,1
813,81.35,660,0
814,64.03,422,0
815,80.41,1064,1
816,89.48,863,0
817,82.62,129,0
818,82.44,955,1
819,84.3,1102,0
820,74.72,491,0
821,84.47,869,0
822,82.56,526,0
823,98.52,737,0
824,74.04,594,0
825,59.06,469,0
826,89.01,852,0
827,72.9,34,0
828,71.67,692,0
829,74.03,925,0
830,99.16,757,0
831,86.24,820,0
832,87.46,280,0
833,65.3,420,0
834,87.4,212,0
835,86.86,1133,1
836,90.52,83,0
837,68.22,749,0
838,98.12,621,0
839,71.27,399,0
840,68.8,586,0
841,71.25,821,0
842,70.29,971,1
843,79.27,1149,0
844,81.6,1020,0
845,68.57,995,1
846,80.15,622,0
847,96.2,509,0
848,81.46,656,0
849,81.69,684,0
850,86.49,36,0
851,91.19,644,0
852,81.3,441,0
853,65.73,265,0
854,70.92,862,0
855,61.49,239,0
856,73.77,821,0
857,69.0,321,0
858,73.56,1173,0
859,73.83,821,0
860,69.93,503,0
861,94.87,912,1
862,84.08,969,1
863,91.51,803,0
864,87.57,699,0
865,81.74,626,0
866,69.27,950,1
867,73.23,508,0
868,81.08,45,0
869,76.86,59,0
870,96.87,795,0
871,85.8,771,0
872,71.85,805,0
873,93.05,832,0
874,60.16,1130,1
875,82.23,294,0
876,50.0,1063,0
877,89.05,635,0
878,68.76,506,0
879,92.13,1176,1
880,75.87,243,0
881,82.45,136,0
882,86.46,796,0
883,92.89,846,0
884,77.2,426,0
885,95.89,78,0
886,73.33,576,0
887,87.87,104,0
888,72.99,688,0
889,80.62,814,0
890,74.62,842,0
891,73.45,926,0
892,76.1,369,0
893,92.23,659,0
894,94.28,722,0
895,67.59,733,0
896,72.49,57,0
897,85.46,208,0
898,65.81,790,0
899,72.67,345,0
900,80.95,204,0
901,72.8,962,1
902,88.92,955,1
903,77.08,946,0
904,66.42,854,0
905,75.25,247,0
906,71.25,1080,1
907,84.77,1184,1
908,80.43,687,0
909,77.98,247,0
910,84.01,549,0
911,88.93,337,0
912,66.2,741,0
913,77.18,114,0
914,61.89,250,0
915,91.61,790,0
916,90.8,1150,1
917,75.28,737,0
918,86.69,990,0
919,79.0,888,0
920,80.72,744,0
921,81.61,392,0
922,71.26,11,0
923,78.19,779,0
924,77.7,1122,1
925,88.08,10,0
926,101.56,719,0
927,92.57,75,0
928,87.47,109,0
929,74.8,169,0
930,79.4,773,0
931,91.98,926,1
932,87.04,1199,1
933,76.14,832,0
934,80.25,794,0
935,76.34,879,0
936,87.07,428,0
937,72.31,10,0
938,56.83,252,0
939,69.67,212,0
940,102.41,733,0
941,58.83,210,0
942,87.05,625,0
943,94.77,195,0
944,91.47,1005,1
945,84.46,417,0
946,75.5,1194,0
947,76.86,163,0
948,75.92,854,0
949,85.33,354,0
950,68.12,657,0
951,78.06,126,0
952,97.74,393,0
953,93.44,57,0
954,75.4,361,0
955,96.97,175,0
956,70.62,116,0
957,74.96,519,0
958,78.13,1173,0
959,78.97,736,0
960,68.56,568,0
961,74.65,812,0
962,86.68,658,0
963,86.35,1064,0
964,90.31,1105,1
965,77.54,288,0
966,95.33,794,0
967,81.56,522,0
968,72.32,1022,0
969,76.31,78,0
970,92.86,179,0
971,86.26,126,0
972,67.64,801,0
973,86.2,1029,0
974,94.66,544,0
975,75.93,79,0
976,88.02,948,1
977,100.62,545,0
978,64.3,1111,0
979,57.95,834,0
980,78.91,575,0
981,77.29,249,0
982,51.81,1199,0
983,83.46,337,0
984,76.09,477,0
985,87.85,57,0
986,64.87,507,0
987,66.54,720,0
988,84.33,750,0
989,94.24,902,1
990,93.57,144,0
991,81.55,662,0
992,62.79,870,0
993,84.69,258,0
994,82.36,204,0
995,93.23,875,0
996,84.53,520,0
997,73.28,520,0
998,69.32,724,0
999,88.08,831,0
1000,93.55,361,0
1001,72.91,528,0
1002,89.63,251,0
1003,72.56,1119,0
1004,73.5,937,1
1005,70.02,538,0
1006,73.02,352,0
1007,87.36,293,0
1008,86.97,883,0
1009,71.92,91,0
1010,91.87,452,0
1011,84.1,803,0
1012,74.41,981,0
1013,65.21,294,0
1014,74.67,36,0
1015,76.58,1113,1
1016,82.25,798,0
1017,97.17,16,0
1018,91.75,851,0
1019,80.46,376,0
1020,92.23,1029,1
1021,71.01,691,0
1022,90.16,511,0
1023,53.3,746,0
1024,89.89,258,0
1025,102.42,730,0
1026,94.14,1175,1
1027,64.63,476,0
1028,72.15,1189,1
1029,90.93,1160,1
1030,71.41,321,0
1031,71.85,467,0
1032,77.23,681,0
1033,88.15,1131,0
1034,82.54,899,0
1035,87.85,251,0
1036,67.86,222,0
1037,75.72,113,0
1038,78.51,470,0
1039,79.9,1162,1
1040,87.9,537,0
1041,86.7,1149,1
1042,71.4,1159,1
1043,77.73,48,0
1044,81.38,526,0
1045,88.46,610,0
1046,74.7,741,0
1047,87.78,922,1
1048,79.32,915,1
1049,68.88,1030,1
1050,85.52,1172,1
1051,88.09,1171,1
1052,72.95,835,0
1053,68.53,413,0
1054,80.09,901,1
1055,88.59,403,0
1056,92.21,1033,1
1057,68.77,1034,0
1058,89.33,417,0
1059,61.5,880,0
1060,73.89,778,0
1061,90.88,443,0
1062,83.08,294,0
1063,93.71,682,0
1064,65.5,453,0
1065,81.04,530,0
1066,85.55,132,0
1067,87.23,952,0
1068,66.58,855,0
1069,79.47,937,0
1070,66.23,361,0
1071,96.34,520,0
1072,95.22,800,0
1073,83.8,148,0
1074,74.22,93,0
1075,89.47,840,0
1076,84.58,284,0
1077,84.65,1126,1
1078,103.83,317,0
1079,90.66,119,0
1080,80.6,770,0
1081,74.68,372,0
1082,87.75,914,0
1083,78.16,225,0
1084,89.45,287,0
1085,87.52,1044,1
1086,81.06,971,0
1087,78.04,328,0
1088,81.3,240,0
1089,75.03,583,0
1090,69.66,22,0
1091,87.7,1011,0
1092,90.44,1195,1
1093,69.75,853,0
1094,77.89,376,0
1095,75.82,248,0
1096,99.79,930,1
1097,86.2,25,0
1098,89.32,629,0
1099,73.23,111,0
1100,77.88,588,0
1101,72.76,1176,1
1102,67.32,444,0
1103,76.08,525,0
1104,76.8,428,0
1105,84.48,446,0
1106,83.8,649,0
1107,80.56,21,0
1108,76.11,345,0
1109,71.93,978,0
1110,71.95,931,1
1111,69.49,843,0
1112,59.01,637,0
1113,83.55,251,0
1114,81.75,111,0
1115,72.43,868,0
1116,91.27,1146,1
1117,68.07,763,0
1118,89.12,249,0
1119,87.64,338,0
1120,95.98,778,0
1121,75.88,588,0
1122,75.43,147,0
1123,79.58,1015,1
1124,95.82,651,0
1125,83.65,250,0
1126,51.22,871,0
1127,61.32,997,0
1128,70.48,995,0
1129,71.76,798,0
1130,72.29,557,0
1131,73.87,1035,0
1132,81.53,812,0
1133,96.37,49,0
1134,101.4,543,0
1135,73.99,810,0
1136,77.71,392,0
1137,75.73,471,0
1138,82.65,1168,1
1139,70.8,485,0
1140,71.74,549,0
1141,92.09,706,0
1142,95.97,523,0
1143,64.7,260,0
1144,74.13,867,0
1145,87.83,117,0
1146,78.57,692,0
1147,88.42,577,0
1148,82.0,422,0
1149,75.6,26,0
1150,75.42,678,0
1151,93.92,139,0
1152,80.02,527,0
1153,76.56,183,0
1154,87.38,396,0
1155,86.76,297,0
1156,97.23,113,0
1157,91.24,203,0
1158,70.88,1075,1
1159,92.92,135,0
1160,92.83,107,0
1161,82.55,986,1
1162,84.86,717,0
1163,90.83,620,0
1164,67.72,128,0
1165,101.78,334,0
1166,78.35,515,0
1167,114.45,886,0
1168,71.05,752,0
1169,79.23,527,0
1170,69.21,94,0
1171,68.02,93,0
1172,64.19,816,0
1173,76.3,830,0
1174,71.14,319,0
1175,73.46,575,0
1176,78.54,525,0
1177,94.89,946,1
1178,91.14,986,1
1179,82.87,474,0
1180,98.13,264,0
1181,77.49,1181,0
1182,77.1,684,0
1183,80.85,1089,0
1184,71.73,875,0
1185,106.54,434,0
1186,59.64,716,0
1187,88.9,111,0
1188,60.64,491,0
1189,77.18,433,0
1190,74.45,1089,0
1191,68.72,1154,1
1192,76.44,925,0
1193,86.73,871,0
1194,82.26,73,0
1195,70.77,195,0
1196,69.68,1078,1
1197,71.72,1068,1
1198,84.33,58,0
1199,76.67,822,0
1200,95.11,1106,1
1201,87.45,867,0
1202,77.68,987,1
1203,72.69,894,0
1204,76.88,819,0
1205,72.77,923,0
1206,76.11,1184,1
1207,83.39,1070,0
1208,62.33,1047,0
1209,81.97,16,0
1210,87.8,794,0
1211,82.48,111,0
1212,84.59,397,0
1213,73.72,793,0
1214,82.04,218,0
1215,97.54,149,0
1216,78.81,203,0
1217,86.57,577,0
1218,101.89,722,0
1219,75.04,968,0
1220,92.33,684,0
1221,63.72,566,0
1222,65.71,744,0
1223,74.55,636,0
1224,70.78,409,0
1225,85.4,300,0
1226,74.01,968,0
1227,68.63,1133,1
1228,78.55,904,1
1229,90.36,305,0
1230,90.04,1061,1
1231,69.71,324,0
1232,87.5,671,0
1233,71.99,872,0
1234,87.69,1163,1
1235,97.26,1065,1
1236,72.26,192,0
1237,76.84,1079,1
1238,67.18,257,0
1239,67.52,391,0
1240,64.67,457,0
1241,70.03,517,0
1242,87.6,696,0
1243,94.79,1126,1
1244,87.22,524,0
1245,85.33,458,0
1246,68.65,408,0
1247,76.89,974,0
1248,83.83,1200,1
1249,74.67,490,0
1250,86.04,740,0
1251,73.28,953,1
1252,97.51,946,1
1253,64.95,23,0
1254,74.1,1165,1
1255,90.65,703,0
1256,76.35,629,0
1257,78.08,27,0
1258,82.63,147,0
1259,74.48,266,0
1260,74.65,544,0
1261,78.81,981,0
1262,71.89,104,0
1263,73.17,627,0
1264,86.02,1083,1
1265,59.8,1109,1
1266,85.61,711,0
1267,66.74,328,0
1268,60.43,634,0
1269,84.47,677,0
1270,78.62,1008,1
1271,79.87,1122,0
1272,76.74,94,0
1273,65.41,746,0
1274,79.53,713,0
1275,85.88,1018,1
1276,78.94,908,1
1277,68.86,758,0
1278,74.93,749,0
1279,74.39,1130,1
1280,66.88,1127,1
1281,80.05,122,0
1282,93.36,648,0
1283,76.16,323,0
1284,88.12,1014,1
1285,70.9,211,0
1286,88.8,322,0
1287,94.01,325,0
1288,85.77,662,0
1289,88.2,12,0
1290,80.25,981,1
1291,69.87,638,0
1292,83.71,611,0
1293,86.6,429,0
1294,69.13,23,0
1295,83.62,1157,0
1296,78.09,1103,0
1297,91.27,392,0
1298,77.1,111,0
1299,81.69,1057,1
1300,67.95,421,0
1301,72.78,313,0
1302,87.67,211,0
1303,86.0,140,0
1304,66.97,236,0
1305,82.32,404,0
1306,76.51,725,0
1307,75.25,776,0
1308,81.01,798,0
1309,76.62,734,0
1310,97.48,567,0
1311,81.11,959,0
1312,81.5,808,0
1313,68.62,1031,1
1314,87.91,313,0
1315,71.36,332,0
1316,72.65,650,0
1317,81.63,464,0
1318,93.32,953,1
1319,76.42,617,0
1320,83.47,990,1
1321,65.91,515,0
1322,74.4,666,0
1323,75.9,214,0
1324,84.7,727,0
1325,74.78,583,0
1326,71.19,494,0
1327,76.47,384,0
1328,93.03,1031,1
1329,74.56,1175,0
1330,83.54,239,0
1331,83.0,881,0
1332,82.25,856,0
1333,76.58,1064,0
1334,82.47,1017,1
1335,82.69,1148,0
1336,63.81,40,0
